student_id,name,major,intake,total_attendance,standing,year,last_attendance_time,enrolled_courses,attendance_history
24001,A,Software Engineering,2021,16,G,3,01/10/2024 13:00,"['CSC3034', 'NET2201', 'CSC2014', 'NET3204']","[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '14:05:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-09', 'time': '12:08:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:07:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-11', 'time': '13:56:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-17', 'time': '09:05:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-18', 'time': '11:08:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-24', 'time': '08:07:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-25', 'time': '11:56:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-08', 'time': '11:55:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-09', 'time': '17:28:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-15', 'time': '11:48:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-16', 'time': '17:36:00', 'subject': 'CSC2014', 'status': 'Present'}]"
24002,B,Computer Science,2022,4,G,3,17/10/2024 14:00,['NET3204'],"[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}]"
24003,C,Computer Science,2023,12,G,1,01/10/2024 15:00,"['CSC3034', 'NET2201', 'CSC2014', 'NET3204']","[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '14:05:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-09', 'time': '12:08:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:07:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-11', 'time': '13:56:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-17', 'time': '09:05:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-18', 'time': '11:08:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-24', 'time': '08:07:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-25', 'time': '11:56:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-08', 'time': '11:55:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-09', 'time': '17:28:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-15', 'time': '11:48:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-23', 'time': '17:36:00', 'subject': 'CSC2014', 'status': 'Present'}]"
24004,D,Computer Science,2021,18,B,4,02/10/2024 10:00,"['CSC3034', 'NET3204', 'PSY2164', 'MKT2224']","[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '13:05:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-10', 'time': '12:08:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-14', 'time': '13:07:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-17', 'time': '12:56:00', 'subject': 'MKT2224', 'status': 'Late'}, {'date': '2024-10-17', 'time': '09:05:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-18', 'time': '11:08:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-24', 'time': '08:07:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-25', 'time': '11:56:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-07', 'time': '09:55:00', 'subject': 'PSY2164', 'status': 'Late'}, {'date': '2024-10-10', 'time': '17:28:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-14', 'time': '09:48:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-17', 'time': '17:36:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-11-04', 'time': '09:55:00', 'subject': 'PSY2164', 'status': 'Late'}, {'date': '2024-11-07', 'time': '17:28:00', 'subject': 'PSY2164', 'status': 'Present'}]"
24005,E,Computer Science,2022,17,G,3,03/10/2024 10:00,"['CSC3034', 'NET3204', 'PSY2164', 'MKT2224']","[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '13:05:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-10', 'time': '12:08:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-14', 'time': '13:07:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-17', 'time': '12:56:00', 'subject': 'MKT2224', 'status': 'Late'}, {'date': '2024-10-17', 'time': '09:05:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-18', 'time': '11:08:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-24', 'time': '08:07:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-25', 'time': '11:56:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-10', 'time': '17:28:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-14', 'time': '09:48:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-17', 'time': '17:36:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-11-04', 'time': '09:55:00', 'subject': 'PSY2164', 'status': 'Late'}, {'date': '2024-11-07', 'time': '17:28:00', 'subject': 'PSY2164', 'status': 'Present'}]"
24006,F,Computer Science,2022,10,G,3,02/10/2024 10:00,"['NET3204', 'MKT2224']","[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '13:05:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-10', 'time': '12:08:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-14', 'time': '13:07:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-17', 'time': '12:56:00', 'subject': 'MKT2224', 'status': 'Late'}, {'date': '2024-11-04', 'time': '13:05:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-11-07', 'time': '12:08:00', 'subject': 'MKT2224', 'status': 'Present'}]"
24007,G,Computer Science,2023,16,G,2,20/11/2024 10:00,"['CSC3034', 'NET2201', 'CSC2014', 'NET3204']","[{'date': '2024-10-03', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '14:05:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-09', 'time': '12:08:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:07:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-11', 'time': '13:56:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-17', 'time': '09:05:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-18', 'time': '11:08:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-24', 'time': '08:07:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-25', 'time': '11:56:00', 'subject': 'CSC3034', 'status': 'Present'}, {'date': '2024-10-08', 'time': '11:55:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-09', 'time': '17:28:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-15', 'time': '11:48:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-23', 'time': '17:36:00', 'subject': 'CSC2014', 'status': 'Present'}]"
24008,H,Computer Science,2021,17,G,3,20/11/2024 10:00,"['PSY2164', 'NET2201', 'CSC2014', 'NET3204']","[{'date': '2024-10-10', 'time': '17:18:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-14', 'time': '09:48:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-17', 'time': '17:36:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-11-04', 'time': '09:55:00', 'subject': 'PSY2164', 'status': 'Late'}, {'date': '2024-11-07', 'time': '17:28:00', 'subject': 'PSY2164', 'status': 'Present'}, {'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '14:05:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-09', 'time': '12:08:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:07:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-11', 'time': '13:56:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-08', 'time': '11:55:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-09', 'time': '17:28:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-15', 'time': '11:48:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-23', 'time': '17:36:00', 'subject': 'CSC2014', 'status': 'Present'}]"
24009,J,Computer Science,2022,12,G,2,20/11/2024 10:00,"['NET2201', 'CSC2014', 'NET3204']","[{'date': '2024-10-03', 'time': '14:05:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-04', 'time': '08:08:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:02:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-11', 'time': '08:06:00', 'subject': 'NET3204', 'status': 'Present'}, {'date': '2024-10-07', 'time': '14:05:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-09', 'time': '12:08:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-10', 'time': '14:07:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-11', 'time': '13:56:00', 'subject': 'NET2201', 'status': 'Present'}, {'date': '2024-10-08', 'time': '11:55:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-09', 'time': '17:28:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-15', 'time': '11:48:00', 'subject': 'CSC2014', 'status': 'Present'}, {'date': '2024-10-23', 'time': '17:36:00', 'subject': 'CSC2014', 'status': 'Present'}]"
24010,K,Business Studies,2022,7,G,2,20/11/2024 10:00,['MKT2224'],"[{'date': '2024-09-23', 'time': '15:06:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-09-26', 'time': '12:56:00', 'subject': 'MKT2224', 'status': 'Late'}, {'date': '2024-10-07', 'time': '15:10:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-10', 'time': '12:08:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-10-14', 'time': '15:38:00', 'subject': 'MKT2224', 'status': 'Late'}, {'date': '2024-11-04', 'time': '15:02:00', 'subject': 'MKT2224', 'status': 'Present'}, {'date': '2024-11-07', 'time': '12:02:00', 'subject': 'MKT2224', 'status': 'Present'}]"
